admin_name,district,division,pixel_count,mean_lst,min_lst,max_lst,std_lst
Ward No-34,Motijheel,,828,31.99,30.12,34.01,0.52
Ward No-67 (Part),Chak Bazar,,313,31.99,29.53,33.1,0.72
Ward No-26,Khilgaon,,2262,31.97,29.33,35.31,1.14
Ward No-33,Motijheel,,479,31.96,30.92,33.17,0.49
Ward No-63 (Part),Chak Bazar,,360,31.93,30.91,32.87,0.45
Ward No-46 (Part),Hazaribagh,,1660,31.92,26.83,35.86,1.27
Ward No-56 (Part),Lalbagh,,69,31.92,30.99,32.88,0.39
Ward No-51(part),Mohammadpur,,484,31.92,30.86,33.14,0.45
Ward No-45,Mohammadpur,,1507,31.88,29.58,34.02,0.64
Ward No-55,Ramna,,830,31.84,26.13,34.18,1.32
Ward No-21,Badda,,1719,31.83,26.53,34.96,1.32
Beraid,Badda,,14045,31.79,-93.71,36.1,4.61
Ward No-40 (Part),Sher-e-bangla Nagar,,3256,31.78,27.96,39.97,1.32
Ward No-06,Pallabi,,4983,31.78,26.11,35.27,1.33
Ward No-01,Biman Bandar,,164,31.78,30.67,33.08,0.56
Dhania(part),Kadamtali,,1734,31.69,29.85,34.29,0.65
Ward No-52,New Market,,1821,31.68,27.98,35.02,1.13
Ward No-49,Dhanmondi,,2367,31.67,27.49,33.62,0.81
Shyampur,Kadamtali,,5351,31.64,-79.57,38.59,5.53
Ward No-62,Lalbagh,,1008,31.64,30.07,33.06,0.61
Ward No-18,Gulshan,,1570,31.64,27.24,34.51,0.95
Ward No-28,Sabujbagh,,1199,31.64,28.65,33.16,0.61
Ward No-56(part),Shahbagh,,3092,31.63,27.65,35.08,1.01
Zinjira,Keraniganj,,2722,31.63,26.21,35.72,2.22
Ward No-02,Pallabi,,2800,31.63,26.3,35.4,1.57
Ward No-22,Rampura,,2552,31.62,26.03,35.07,1.36
Ward No-57,Shahbagh,,1358,31.61,28.77,33.43,0.69
Ward No-54,Ramna,,1039,31.59,26.94,33.81,1.24
Dakshingaon (Part),Khilgaon,,3950,31.46,27.95,35.43,1.23
Manda,Sabujbagh,,1524,31.46,28.47,33.9,1.18
Ward No-53,Ramna,,1952,31.41,28.9,33.6,0.67
Konda,Keraniganj,,31969,31.38,-100.37,38.65,5.63
Ward No-98 (Rest. Area),Cantonment,,8502,31.33,27.84,37.15,1.17
